ìÂ,ìÀ
0.50303710,5.0304E-04
0.50303710,5.0304E-04
0.50303710,5.0304E-04
0.50303710,5.0304E-04
0.50309670,5.0310E-04
0.50312650,5.0313E-04
0.50312650,5.0313E-04
0.50312650,5.0313E-04
0.50315630,5.0316E-04
0.50315630,5.0316E-04
0.50315630,5.0316E-04
0.50315630,5.0316E-04
0.50315630,5.0316E-04
0.50315630,5.0316E-04
0.50315630,5.0316E-04
0.50318610,5.0319E-04
0.50318610,5.0319E-04
0.50318610,5.0319E-04
0.50318610,5.0319E-04
0.50318610,5.0319E-04
0.50321590,5.0322E-04
0.50321590,5.0322E-04
0.50321590,5.0322E-04
0.50321590,5.0322E-04
0.50324570,5.0325E-04
0.50324570,5.0325E-04
0.50324570,5.0325E-04
0.50324570,5.0325E-04
0.50327550,5.0328E-04
0.50327550,5.0328E-04
0.50327550,5.0328E-04
0.50327550,5.0328E-04
0.50327550,5.0328E-04
0.50327550,5.0328E-04
0.50330530,5.0331E-04
0.50330530,5.0331E-04
0.50330530,5.0331E-04
0.50330530,5.0331E-04
0.50330530,5.0331E-04
0.50333510,5.0334E-04
0.50336500,5.0337E-04
0.50336500,5.0337E-04
0.50336500,5.0337E-04
0.50336500,5.0337E-04
0.50336500,5.0337E-04
0.50336500,5.0337E-04
0.50336500,5.0337E-04
0.50339480,5.0339E-04
0.50339480,5.0339E-04
0.50339480,5.0339E-04
0.50339480,5.0339E-04
0.50339480,5.0339E-04
0.50339480,5.0339E-04
0.50339480,5.0339E-04
0.50342460,5.0342E-04
0.50342460,5.0342E-04
0.50342460,5.0342E-04
0.50342460,5.0342E-04
0.50342460,5.0342E-04
0.50342460,5.0342E-04
0.50342460,5.0342E-04
0.50342460,5.0342E-04
0.50342460,5.0342E-04
0.50345440,5.0345E-04
0.50345440,5.0345E-04
0.50345440,5.0345E-04
0.50345440,5.0345E-04
0.50345440,5.0345E-04
0.50345440,5.0345E-04
0.50345440,5.0345E-04
0.50345440,5.0345E-04
0.50348420,5.0348E-04
0.50348420,5.0348E-04
0.50348420,5.0348E-04
0.50351400,5.0351E-04
0.50351400,5.0351E-04
0.50351400,5.0351E-04
0.50351400,5.0351E-04
0.50354380,5.0354E-04
0.50354380,5.0354E-04
0.50354380,5.0354E-04
0.50354380,5.0354E-04
0.50354380,5.0354E-04
0.50354380,5.0354E-04
0.50354380,5.0354E-04
0.50354380,5.0354E-04
0.50357360,5.0357E-04
0.50357360,5.0357E-04
0.50357360,5.0357E-04
0.50357360,5.0357E-04
0.50360340,5.0360E-04
0.50360340,5.0360E-04
0.50363320,5.0363E-04
0.50363320,5.0363E-04
0.50363320,5.0363E-04
0.50363320,5.0363E-04
0.50366300,5.0366E-04
0.50366300,5.0366E-04
0.50366300,5.0366E-04
0.50366300,5.0366E-04
0.50366300,5.0366E-04
0.50366300,5.0366E-04
0.50366300,5.0366E-04
0.50369280,5.0369E-04
0.50369280,5.0369E-04
0.50369280,5.0369E-04
0.50369280,5.0369E-04
0.50369280,5.0369E-04
0.50369280,5.0369E-04
0.50369280,5.0369E-04
0.50372260,5.0372E-04
0.50372260,5.0372E-04
0.50372260,5.0372E-04
0.50372260,5.0372E-04
0.50375240,5.0375E-04
0.50375240,5.0375E-04
0.50375240,5.0375E-04
0.50375240,5.0375E-04
0.50378220,5.0378E-04
0.50378220,5.0378E-04
0.50381200,5.0381E-04
0.50381200,5.0381E-04
0.50381200,5.0381E-04
0.50381200,5.0381E-04
0.50381200,5.0381E-04
0.50384180,5.0384E-04
0.50384180,5.0384E-04
0.50384180,5.0384E-04
0.50384180,5.0384E-04
0.50384180,5.0384E-04
0.50384180,5.0384E-04
0.50387160,5.0387E-04
0.50387160,5.0387E-04
0.50387160,5.0387E-04
0.50387160,5.0387E-04
0.50387160,5.0387E-04
0.50387160,5.0387E-04
0.50387160,5.0387E-04
0.50387160,5.0387E-04
0.50387160,5.0387E-04
0.50390140,5.0390E-04
0.50390140,5.0390E-04
0.50390140,5.0390E-04
0.50390140,5.0390E-04
0.50390140,5.0390E-04
0.50390140,5.0390E-04
0.50390140,5.0390E-04
0.50393120,5.0393E-04
0.50393120,5.0393E-04
0.50393120,5.0393E-04
0.50393120,5.0393E-04
0.50393120,5.0393E-04
0.50393120,5.0393E-04
0.50393120,5.0393E-04
0.50393120,5.0393E-04
0.50396100,5.0396E-04
0.50396100,5.0396E-04
0.50396100,5.0396E-04
0.50396100,5.0396E-04
0.50396100,5.0396E-04
0.50396100,5.0396E-04
0.50396100,5.0396E-04
0.50396100,5.0396E-04
0.50396100,5.0396E-04
0.50396100,5.0396E-04
0.50399080,5.0399E-04
0.50399080,5.0399E-04
0.50399080,5.0399E-04
0.50402060,5.0402E-04
0.50402060,5.0402E-04
0.50402060,5.0402E-04
0.50402060,5.0402E-04
0.50402060,5.0402E-04
0.50402060,5.0402E-04
0.50402060,5.0402E-04
0.50405040,5.0405E-04
0.50405040,5.0405E-04
0.50405040,5.0405E-04
0.50405040,5.0405E-04
0.50408020,5.0408E-04
0.50408020,5.0408E-04
0.50408020,5.0408E-04
0.50408020,5.0408E-04
0.50408020,5.0408E-04
0.50408020,5.0408E-04
0.50408020,5.0408E-04
0.50408020,5.0408E-04
0.50408020,5.0408E-04
0.50408020,5.0408E-04
0.50408020,5.0408E-04
0.50411000,5.0411E-04
0.50411000,5.0411E-04
0.50411000,5.0411E-04
0.50413980,5.0414E-04
0.50413980,5.0414E-04
0.50413980,5.0414E-04
0.50416960,5.0417E-04
0.50416960,5.0417E-04
0.50422920,5.0423E-04
0.50425900,5.0426E-04
